ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER,INTERPRETATION_SERVICE_OFFERED,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,,BOROUGH,WEBSITE,X,Y
Association to Benefit Children,Fast Break Early Childhood Mental Health Clinic: The Bronx,1366 Inwood Avenue ,"Bronx, NY 10452",929-288-4320,,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,Serves children under 5 years of age ,Call to inquire about hours of operation,,1,,,,,,,,,,,,,,,,,Bronx,http://www.a-b-c.org/,1006723,245279
Association to Benefit Children,Fast Break Children's Mental Health Clinic: 115th Street,158 E 115th Street,"New York, NY 10029",646-459-6174,,,,,,,,,,1,,,,,,,,1,1,1,,1,1,,,Serves victims under 17 years of age,Call to inquire about hours of operation,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1000336,229871
Association to Benefit Children,Graham School,1841 Park Avenue,"New York, NY 10035",646-459-6029,,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,Call to confirm eligibility,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001413,232811
Association to Benefit Children,Keith Haring School,318 E 116th Street,"New York, NY 10029",212-426-3960 ,1,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,Serves students enrolled at the Keith Haring School,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001705,229413
Association to Benefit Children,Merricat's Castle School,316 E 88th Street,"New York, NY 10128 ",212-534-3656,,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,"Serves children of preschool age, call to confirm eligibility",Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,998173,222898
Association to Benefit Children,Open Door/Saturday Program,1841 Park Avenue ,"New York, NY 10035",646-459-6149,,,,,,1,,,,,,,,,,,,1,1,1,,1,1,,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001413,232811
Association to Benefit Children,Supportive Housing,318 E 116th Street,"New York, NY 10029",212-426-3960 ,3,,,,,,,1,,,,,,,,,,1,1,1,,1,1,,,Serves families living with HIV/AIDS,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001705,229413
Association to Benefit Children,Youth Services,1841 Park Avenue ,"New York, NY 10035",646-459-6175,,,1,,,,,,,1,,,,,,,,1,1,1,,,1,,,Call to confirm eligibility,Monday - Friday: 2:30 pm - 6:00 pm (school year),,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001413,232811
Atlas DIY Corporation,Brooklyn Office,"462 36th Street, Suite PH-B ","Brooklyn, NY 11232",347-599-1641,,,1,1,1,1,,,,,,,,1,,,1,1,1,1,,,1,,,Serves immigrant youth 14-24 years of age,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,,,Brooklyn,http://www.atlasdiy.org/,983454,177218
Barrier Free Living,,637 E 138th Street ,"Bronx, NY 10454",929-281-2261,,1,,,1,,,1,,1,,,1,,,,1,1,,,,1,1,1,1,"Serves residents of supportive housing, call to confirm eligibility",Monday - Friday: 9 am - 7 pm,Saturday: 10 am - 5 pm,1,,,,,,,,,,,,,,,Communities of people with physical or mental disabilities ,,Bronx,https://www.bflnyc.org,1007801,232954
Bronx Legal Services,,"349 E 149th Street, 10th Floor","Bronx, NY 10451",718-928-3700,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Bronx,http://www.legalservicesnyc.org/our-program/bronx,1006473,236891
Bronx Legal Services (LSNY-Bronx Corporation),,"349 E 149th Street, 10th Floor","Bronx, NY 10451",718-928-2874,,,1,1,1,1,,,,,,,,,,Office of Victim Services claim application assistance,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Bronx,http://www.legalservicesnyc.org/our-program/bronx,1006473,236891
Bronx Legal Services (LSNY-Bronx Corporation),Bronx Family Justice Center,198 E 161st Street,"Bronx, NY 10451",718-508-1222,,,,1,,,,,,,,,,,,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Wednesday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Bronx,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page,1006087,240172
"Bronxworks, Inc.",Heights Neighborhood Senior Center,200 W Tremont Avenue,"Bronx, NY 10453",718-299-0300,,1,1,,1,,,,,1,,1,1,,,Office of Victim Services claim application assistance,1,1,,,1,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 8:30 am - 4:30 pm ,,1,,,,,,,,,,,,,1,,,,Bronx,http://www.bronxworks.org/,1007173,249628
Brooklyn Legal Services,,"105 Court Street, 3rd Floor","Brooklyn, NY 11201",718-237-5500,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Brooklyn,http://www.legalservicesnyc.org/our-program/brooklyn,986594,190930
Brooklyn Legal Services Corporation A,Shriver Tyler MacCrate Center for Justice,"260 Broadway, Suite 2","Brooklyn, NY 11211",718-487-2322,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Brooklyn,http://bka.org/,995461,197483
Brooklyn Legal Services Corporation A,Bed-Stuy Office,619 Throop Avenue  ,"Brooklyn, NY 11216",718-487-2300,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,Brooklyn,http://bka.org/,1000798,187394
"CAMBA, Inc.",,885 Flatbush Avenue ,"Brooklyn, NY 11226",718-287-2600 ,,1,1,,1,1,,,,1,,,,,,,1,,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,Immigrant communities,,Brooklyn,https://www.camba.org/,995822,176178
Cardinal McCloskey Community Services,,529 Courtlandt Avenue ,"Bronx, NY 10451",718-993-7700,,1,1,,,,,,1,1,,,,,,,1,1,1,1,,1,1,1,1,Serves victims who are part of Cardinal McCloskey Community Services foster care or prevention programs,Monday - Friday: 9 am - 7 pm,,1,,,,,,,,,,,,,,,,,Bronx,http://www.cmcs.org/,1006385,236620
Carter Burden Network - CEMAPP,,312 E 109th Street,"New York, NY 10029",917-409-1261,,1,,,1,,,,,1,,,1,,,,1,1,,,,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,,,,,,Manhattan,http://www.carterburdennetwork.org/,1000750,227847
"Catholic Charities Neighborhood Services, Inc.",Flatbush Addiction Treatment Center ,1463 Flatbush Avenue,"Brooklyn, NY 11210",718-951-9009,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 6 pm,Saturday: 9 am - 1 pm,,,,,,,,,,,,,,,,,,Brooklyn,https://www.ccbq.org/,998276,170602
"Catholic Charities Neighborhood Services, Inc.",Corona Behavioral Health Center ,91-14 37th Avenue ,"Jackson Heights, NY 11372",718-779-1600,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday-Sunday: 9 pm - 5 pm,1,,,,,,,,,,,,,,,Immigrant communities,,Queens,https://www.ccbq.org/,1018810,212735
"Catholic Charities Neighborhood Services, Inc.",Glendale Mental Health Clinic,67-29 Myrtle Avenue,"Glendale, NY 11385",718-456-7001,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,,,,,,,,,Queens,https://www.ccbq.org/,1016018,194985
"Catholic Charities Neighborhood Services, Inc.",Bohan-Denton Flatlands Guidance Center,"2037 Utica Avenue, Second Floor","Brooklyn, NY 11234",718-377-5755,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,1,,,,,,,,Brooklyn,https://www.ccbq.org/,1004554,165948
"Catholic Charities Neighborhood Services, Inc.",Rockaway Mental Health Clinic,1847 Mott Avenue ,"Far Rockaway, NY 11691",718-337-6800,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,1,,,,,1,,,,1,,,,,,,,Queens,https://www.ccbq.org/,1053240,159168
"Catholic Charities Neighborhood Services, Inc.",Jamaica Behavioral Health Center,"161-10 Jamaica Avenue, 2nd Floor","Jamaica, NY 11432",718-804-1682,,,1,,,,,,,1,1,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday-Sunday: 9 pm - 5 pm,1,,,,,,,,,1,,,,,,,,Queens,https://www.ccbq.org/,1040292,195722
Center Against Domestic Violence,Administrative Office,"25 Chapel Street, Suite #904 ","Brooklyn, NY 11201",718-290-5154,,1,1,,1,1,1,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,Latino/a communities,,Brooklyn,http://www.cadvny.org/,988110,193374
Center for Family Representation,Manhattan Headquarters,"40 Worth Street, Suite 605 ","New York, NY 10013",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,Call to confirm eligibility ,Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,1,,,1,,,,Queens and Manhattan Family Courts,,,Manhattan,http://www.cfrny.org/,982312,200527
Center for Family Representation,Queens Community Office,"89-14 Parsons Boulevard , 2nd Floor","Jamaica, NY 11432",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,1,1,1,1,Call to confirm eligibility ,Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,,,,1,,,,Queens and Manhattan Family Courts,,,Queens,http://www.cfrny.org/,1039090,196294
Child Center of New York,Preparatory Academy For Writers - M.S. 283,143-10 Springfield Boulevard ,"Laurelton, NY 11413",718-949-8405 ,1321,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1051453,183114
Child Center of New York,August Martin HS,156-10 Baisley Boulevard ,"Jamaica, NY 11434",718-528-2920 ,1472,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1044511,184932
Child Center of New York,Beach 41 Cornerstone,426 Beach 40th Street,"Far Rockaway, NY 11691",347-246-9759,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1047604,156978
Child Center of New York,Waterside Community School - M.S. 318,190 Beach 110th Street,"Rockaway Park, NY 11694",718-634-1128 ,2072,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031165,150961
Child Center of New York,P.S. 273Q,88-07 102nd Street ,"Richmond Hill, NY 11418",718-286-8305,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1027429,192021
Child Center of New York,P.S. 15Q,121-15 Lucas Street,"St. Albans, NY 11413",718-525-1670 ,1010,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1051771,189313
Child Center of New York,P.S. 197Q,825 Hicksville Road ,"Far Rockaway, NY 11691",718-327-1083 ,1243,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1055315,157870
Child Center of New York,Corona Arts and Science Academy,98-11 44th Avenue ,"Corona, NY 11368",718-507-3848,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1021591,211064
Child Center of New York,"Queens HS for Information, Research, and Technology",825 Bay 25th Street ,"Far Rockaway, NY 11691",718-868-2978,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,,
Child Center of New York,Queens Satellite High School,162-02 Hillside Avenue,"Jamaica, NY 11432",718-657-3920,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1039828,197356
Child Center of New York,Flushing High School,35-01 Union Street ,"Flushing, NY 11355",718-888-7500 ,6227,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1032220,217987
Child Center of New York,Home and Community-Based Services Waiver,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-734-2591 ,2591,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,Home Based Crisis Intervention,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-734-2591 ,2591,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,Step-Down,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-734-2591 ,2591,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,Hank Auffarth Family Center,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-673-8961 ,8961,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 9 am - 8 pm,,1,,,1,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,Trude Weishaupt ,140-15 Sanford Avenue  ,"Flushing, NY 11355",718-673-8961 ,8961,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 9 am - 8 pm,,1,,1,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1032213,215401
Child Center of New York,Basie Beacon Preventive,133-25 Guy R Brewer Boulevard  #117 ,"Jamaica, NY 11434",718-673-8961 ,8961,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 9 am - 8 pm,,1,,,1,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1046498,185275
Child Center of New York,Jamaica Family Center- Preventive,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-673-8961 ,8961,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 9 am - 8 pm,,1,,,,,,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,Health Homes,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-734-2591 ,2591,1,1,,1,,,,,,,1,,,,,,1,,,,1,1,,,,Monday - Friday: 10 am - 6 pm,,1,,,,,1,,,,,,,,,,,,Queens,http://childcenterny.org/,1031204,199909
Child Center of New York,,"118-35 Queens Boulevard , 6th Floor","Forest Hills, NY 11375",718-651-7770,,1,1,,1,1,,,,1,1,1,1,1,1,Child care services,,1,,,,1,1,,,,Monday - Friday: 9 am - 6 pm,Call to inquire about weekend hours of operation,1,1,1,1,1,1,,1,,1,1,1,,,,,,Queens,http://childcenterny.org/,1031204,199909
Children's Aid Society-Family Wellness Program,Lord Memorial Building,150 E 45th Street,"New York, NY 10017",212-503-6829,,1,1,,1,,,,,1,,,,,,Office of Victim Services claim application assistance,1,,,,,1,1,1,,Call to confirm eligibility ,Monday - Friday: 9 am - 8 pm,,1,,,,,,,,,,,,,,,"Immigrant communities",,Manhattan,http://www.childrensaidsociety.org/,991520,213523
Children's Aid Society-Family Wellness Program,Dunlevey Milbank Community Center,14-32 W 118th Street,"New York, NY 10026",212-996-1716,,1,1,,1,,,,,,,,,1,,Office of Victim Services claim application assistance,1,1,,,,1,1,1,,Serves Harlem residents ,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,"Immigrant communities",,Manhattan,http://www.childrensaidsociety.org/,998910,231553
Children's Aid Society-Family Wellness Program,Fort Washington Avenue Armory (non-Children's Aid site),216 Fort Washington Avenue ,"New York, NY 10032",212-923-1803 ,7401,1,1,,1,,,,,,,,,1,,Office of Victim Services claim application assistance,1,,,,,1,1,1,,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,"Immigrant communities",,Manhattan,http://www.childrensaidsociety.org/,1000493,246092
Children's Aid Society-Family Wellness Program,Bronx HUB,"369 E 148th Street, 2nd Floor","Bronx, NY 10455",347-708-8475,,1,1,,1,,,,,1,,,,1,,Office of Victim Services claim application assistance,1,,,,,1,1,1,,Call to confirm eligibility ,Monday - Friday: 9 am - 7 pm,,1,,,,,,,,,,,,,,,"Immigrant communities",,Bronx,http://www.childrensaidsociety.org/,1006640,236540
"Community Agency for Senior Citizens, Inc.",,"56 Bay Street, 5th Floor","Staten Island, NY 10301",718-981-6226,,1,1,,1,,,,,,,,1,,,Transportation services,1,1,1,1,1,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,1,,,,1,,Older adults and seniors,,Staten Island,https://www.nyconnects.ny.gov/providers/community-agency-for-senior-citizens-inc-sofanysp1059,963148,172707
Community Mediation Services,,89-64 163rd Street,"Jamaica, NY 11432",718-523-6868,,1,1,1,,,,,,,,,,,1,Mediation services,,1,,,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,1,1,,,,,,,,,,,,Queens,http://mediatenyc.org/,1040407,196289
Community Solutions Inc.,Youth Services,"90-04 161st Street, Suite 807","Jamaica, NY 11432",347- 561-9072,,1,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,,,Serves victims who are under 18 years of age,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,1,,,1,Administration for Children's Services (ACS) ,,,Queens,http://www.csi-online.org/youth_services/,1039797,196254
Comprehensive Family Services,Comprehensive Therapeutic Services,"280 Madison Avenue, Suite 1204","New York, NY 10016",212-658-0977,,,1,,1,,,,,1,1,,,,,,1,1,1,1,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 9 pm.,Saturday: 9 am - 1 pm,1,,,,,,,,,,,,,,,,,Manhattan,http://cfs-nyc.com/,989618,213075
Crime Victims Support Services of the North Bronx Inc.,,1138 Neill Avenue,"Bronx, NY 10461",718-823-4925,,1,1,,1,,,,,,,,,,,"Claim Assistance, Emergency Lock Replacement",1,1,1,1,,1,1,1,1,Must obtain a police report/complaint number for claims assistance  ,Monday - Friday: 9 am - 4:30 pm,,1,,,,,,,,,,,,,,Police report/claim number,,,Bronx,https://www.guidestar.org/profile/32-0138249,1024521,250412
Crime Victims Treatment Center,,126 W 60th Street,"New York, NY 10023",212-523-4728,,,1,1,1,1,,,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,Hebrew,,,LGBTQ and intimate partner violence survivors,,Manhattan,http://www.cvtcnyc.org/,,
Edith and Carl Marks Jewish Community House of Bensonhurst,,7802 Bay Parkway,"Brooklyn, NY 11214",718-943-6349,,1,1,,1,,,,,,,1,1,1,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,1,,,,,,Immigrants from the former Soviet Union,,Brooklyn,http://www.jchb.org/,987100,160188
Edwin Gould Services for Children and Families (STEPS to End Family Violence),,413 E 120th Street,"New York, NY 10035",646-621-7342,,1,1,,1,,,,,1,,1,,1,,,1,1,,,,1,1,1,,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,,,Intimate partner violence survivors,,Manhattan,http://www.egscf.org/,1002987,230186
"Food First Family Project, Inc.",,165 Conover Street,"Brooklyn, NY 11231",718-624-1950,,1,1,,1,,1,,,,,,,,,Child care services,1,1,,,,1,1,1,,,"Open 24 hours 7 days a week",,1,,,,,,,,,,1,,,,,,,Brooklyn,http://www.foodfirstinc.com/,980496,186368
"Forestdale, Inc.",,67-35 112th Street,"Forest Hills, NY 11375",718-263-0740,,1,1,,,,,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,1,1,1,,,,,,,"Hindi, Nepali, Pashto",,,,,Queens,http://www.forestdaleinc.org/,1028122,205015
"Forestdale, Inc.",,203-09 Hollis Avenue,"Hollis, NY 11412",718-263-0740,,1,1,,,,,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,1,1,1,,,,,,,,,,,,Queens,http://www.forestdaleinc.org/,1052362,196934
